ISTAT,SPRAS,TXT04,TXT30
I0361,C,NVÝP,Nový výpočet množství
I0387,C,OKRO,Obchodně k rozhodnutí
I0388,C,OROZ,Obchodně rozhodnuto
I0392,C,CEFF,Parametry platnosti převzaty
I0393,C,MAVY,Manuální vyrovnání nutné
I0395,C,NAZA,Nabídka založena
I0396,C,NAPŘ,Nabídka přijata
I0404,C,ODP,Odpojit
I0992,C,SAPR,Odesláno ke schválení rozpočtu
I1065,C,CCOM,Nekontaktovat
I1519,C,PoOZ,Opětovně použitá zakázka
I1819,C,AM19,Opatření ukončena
I3901,C,NDIS,Nedisponováno
I3907,C,RESM,Oznámeno
I7100,C,NEWO,Nové/ve zpracování
I7300,C,NEWR,Návrh změny zpracovatelný
I7303,C,CLOR,Návrh změny ukončen
I8001,C,CREA,Nová data IP
I8018,C,NUSD,Nepoužívá se
I8826,C,NACE,Na cestě
I8829,C,NAČU,Nakládka částečně ukončena
I8830,C,NAUK,Nakládka ukončena
IADA1,C,ADA1,Obsazeno
IADC0,C,ADC0,Nekontrolováno
IADC1,C,ADC1,Nesprávné
IADH6,C,ADH6,Na žebříček(-ky)
IADI0,C,ADI0,Nabídka přijetí není akt.možná
IBC04,C,bhb,Odesláno do firemní banky
IBC10,C,brt,Opět.předloženo schvalovatelem
IBC22,C,bpe,Nevyřízeno bankou
IBOS2,C,UVOL,List evidence uvolněn
IBOS3,C,STOR,List evidence stornován
ICO06,C,Odes,Odesláno
ICO08,C,pass,Odsouhlas.
ICO15,C,OdPř,Odpověď kanálu přijata
IDWD9,8,DWD9,/
IDWE-,8,DWE-,/
IDWEX,8,DWEX,/
IDWG-,8,DWG-,/
IDWGX,8,DWGX,/
IDWI0,8,DWI0,/
IDWI1,8,DWI1,/
IDWI2,8,DWI2,/
IDWI9,8,DWI9,/
IDWL0,8,DWL0,/
IDWL1,8,DWL1,Відкрито
IDWL9,8,DWL9,/
IDWM1,8,DWM1,/
IDWM2,8,DWM2,Заплановано
IHU05,C,NALO,Nakládka
ITM11,C,BOL,Nákladní list
ITM21,C,WGTD,Náklad zvážen
IU001,C,NEAK,Není aktivní
IU040,C,ODOZ,Odpojení označeno
IU043,C,NEOD,Neodpojeno
IU101,C,OPOP,Odeslání pož.odečtu potlačeno
IU102,C,OPOC,Odeslání pož.odečtu chybné
IU105,C,OPOP,Odeslání pož.odečtu potvrzeno
IU110,C,OVCh,Odeslání výsled.odečtu chybné
IU111,C,OVOP,Odesl.výsled.odečtu potvrzeno
IU151,C,OSPC,Odesl.storna pož.odečtu chybné
IWA10,C,HOZV,Označení k výmazu pro ZLO
IWA33,C,PLSS,KZ: Vytvoř.vrubopisu potlačeno
IWA36,C,WVLE,Logisticky vyřízeno
I2556,C,PPNU,Návrh plánování uvolněn
ICC09,C,KKAS,Autom.blokování pro zúčtování
I6200,C,ŠABL,Povoleno jako šablona
I1100,C,ARCH,Lze archivovat
I1101,C,VýmV,Archivováno
ICL05,1,CL05,删除标志设置
ICL05,2,CL05,กำหนดแฟลกการลบแล้ว
ICL05,3,CL05,삭제 플래그 설정됨
ICL05,4,CL05,Marcator de ştergere setat
IBC15,Y,bfc,Maksājuma līdzeklis izveidots
IBC15,c,bfc,Mitjà de pagament creat
ICC01,U,CCIN,Uusi
ICC01,V,CCIN,Ny
IDGS6,E,DGS6,Manually Released
ICC01,X,CCIN,naujas
ICC01,Y,CCIN,Jauns
ICC01,c,CCIN,Nous
ICC01,d,CCIN,Novo
ICC01,쁩,CCIN,Mới
ICDD2,U,CDD2,Peruutettu
IDWM9,8,DWM9,/
IDWN0,8,DWN0,/
IDWN1,8,DWN1,Для перевірки
IDWN8,8,DWN8,Митна перевірка
IDWN9,8,DWN9,Розблоковано
IDWP0,8,DWP0,/
IDWP1,8,DWP1,/
IDWP2,8,DWP2,/
IDWP9,8,DWP9,/
IDWS0,8,DWS0,/
IDWS1,8,DWS1,Для перевірки
IDWS9,8,DWS9,Розблоковано
I7U12,U,UCIP,Korjaus käynnissä
I7U13,U,U713,Valmis uudelleenohjattavaksi
I0085,d,LRA3,Lista PRA 3 odštampana
ICRQ6,F,CRQ6,Terminé
I008T,N,DRUN,Opnieuw afgedrukt (na afsl.)
I0095,d,NPRA,Nedostup.proizv.res./alata
I0107,d,OBPO,Obrada pokrenuta
I0110,d,PČDM,Početak demontaže
I0112,d,ZVDM,Završetak demontaže
I0140,d,KPLJ,Kupljeno
I0188,U,ASIA,Asiakkaalla
I0132,d,NAJM,Namenjeno za najam
I0188,V,KUND,Hos kund
I0188,W,ПРКЛ,При клиента
I0188,X,ECUS,Kliento vietoje
I0188,Y,ECUS,Klienta atrašanās vietā
I0188,c,ENCL,En client
I0188,d,KKUP,Kod kupca
I0188,묩,ECUS,ग्राहक साइट पर
I0188,뱋,ТҰТН,Тұтынушыда
I0188,쁩,ECUS,Tại địa điểm của K.Hàng
I0190,1,ELOK,锁定
I0190,2,ELOK,ล็อค
I0190,3,ELOK,잠김
I0190,4,BLOC,Blocat
I0190,5,VBLO,Blokirano
I0190,6,ZAKL,Zaključano
I0190,7,ELOK,Dikunci
I0190,8,ELOK,Заблоковано
I0190,9,ELOK,Lukus
I0190,A,مؤمن,مؤمَّن
I0066,C,POV,Povoleno
I0190,B,ELOK,נעול
I0176,C,ZAMÍ,Zamítnuto
I0190,C,BLOK,Blokováno
I0196,C,KPFR,Uvolněno
I0364,C,POVO,Povoleno
I0417,C,KONF,Konflikt
I0448,C,AK,Aktivní
I0451,C,ZP,Ve zpracování
I0452,C,UZ,Uzavřeno
I0513,C,PLÁN,Plánováno
I0517,C,BLOK,Blokováno
I0559,C,AZST,Stornováno
I0563,C,AFIX,Fixing
I0570,C,VZ,Ve zpracování
I0800,C,NVÝP,Nové
I0801,C,MIBE,Ve zpracování
I0802,C,MAVY,Uzavřeno
I0805,C,VÝM.,Označení k výmazu
I0811,C,1101,Archivováno
I1064,C,CGBL,Blokováno
I1103,C,LOCK,Blokováno
I1170,C,plán,Plánováno
I1171,C,pož,Požadováno
I1174,C,akt.,Aktivní
I1802,C,AM02,Uvolněno
I1804,C,AM04,Blokováno
I1809,C,AM09,Povoleno
I1821,C,AM21,Založeno
I2202,C,CLOC,Blokováno
I2557,C,PPZA,Založeno
I2558,C,PPUV,Uvolněno
I2560,C,PPBL,Blokováno
I7101,C,RELO,Uvolněno
I7203,C,Rel,Uvolněno
I8502,C,XR02,Zamítnuto
I8504,C,XR04,Uvolněno
I8505,C,XR05,Zastaralé
I8520,C,XR20,Schváleno
I8801,C,UPNW,Založeno
I8803,C,UPRL,Uvolněno
I8806,C,UPAP,Povoleno
I8807,C,UPRJ,Zamítnuto
I8915,C,OFRJ,Zamítnuto
ICO04,C,Zam.,Zamítnuto
ICO05,C,Voln,Uvolněno
IHUCO,C,COMP,Uzavřeno
ILB00,C,VEZP,Ve zpracování
ILB20,C,UVOL,Uvolněno
ILB30,C,ZAST,Zastaralé
IP011,C,TRC,Založeno
IP015,C,INP,Ve zpracování
IP016,C,AUD,V kontrole
IP025,C,BLOC,Blokováno
ISR32,C,AARC,Archivováno
IWA35,C,WVAN,Založeno
ISL01,C,GENE,Seal generated
ISL02,C,ISUD,Seal issued
ISL03,C,ALLC,Seal allocated
ISL04,C,REMV,Seal removed
I1691,E,TrnA,Transferred to Accounting
I1927,D,PLIN,Planung initiiert
I0190,F,BLOQ,Bloqué(e/s)
I0190,G,ELOK,Κλειδώθηκε
I0190,H,ZÁRT,Zárolva
I0359,C,ODMÍ,Odmítnuto
I0405,C,TFO,Formulář odpojení vytištěn
I0406,C,ODPN,Odpojeno
I0409,C,DNOV,Dočasně normalizovat
I0410,C,DNOR,Dočasně normalizováno
I0411,C,ETNE,Tisk etiket se nezdařil
I0412,C,ZPDI,Zpětná dodávka iniciována
I0416,C,PŘOD,Předběžné odeslání
I0419,C,ZPEK,Zpracování ext.klíče
I0420,C,DMBK,Disponibilita mat.bez kontroly
I0421,C,DKBK,Disponib.kapacit bez kontroly
I0422,C,DPBK,Disponibilita PVP bez kontroly
I0425,C,UkP,Uvolněný k provedení
I0426,C,PrUk,Práce ukončena
I0427,C,Rzpr,Rozpracováno
I0428,C,TEST,Testovací cyklus
I0429,C,TST,Testovací cyklus
I0430,C,BlTU,Blokování technického uzavření
I0431,C,TTFO,Tisk test.formuláře
I0432,C,VBZA,Protokol šarže založen
I0433,C,VBSC,Protokol šarže schválen
I0434,C,VBČS,Protokol šarže část.schválen
I0435,C,VBAR,Protokol šarže archivován
I0436,C,VBČA,Protokol šarže část.archivován
I0437,C,VBOD,Protokol šarže má odchylky
I0438,C,VBNV,Prot.šarže: Nová verze exist.
I0440,C,CO,Konference
I0444,C,KONX,Fixování konfigurace
I0445,C,ZMĚN,Změnový režim
I0446,C,DODK,Dodatek
I0447,C,HI,Historická
I0449,C,NE,Neaktivní
I0453,C,DP,Data pořízena
I0460,C,PŘIJ,Požadavek přijat
I0470,C,DSAC,Digitální podpis se zpracovává
I0471,C,DSCL,Digitální podpis ukončen
I0472,C,DHZm,Druh hlášení změněn
I0484,C,EXTS,Změněno externím systémem
I0485,C,BezM,Bez materiálových komponent
I0486,C,ROZĎ,Rozděleno
I0487,C,VYRO,Vytvořeno rozdělením
I0190,I,BLOC,Bloccato
I0489,C,TABE,Techn.uzavření z Otevřeno
I0490,C,AVOD,Automatický výmaz odmítnut
I0500,C,QUOT,Bez materiálových komponent
I0511,C,FYEX,Fyzicky existuje
I0512,C,SKLA,Ve skladu
I0514,C,NAL,Naloženo
I0515,C,VYL,Vyloženo
I0516,C,PPVO,PPPI kompletní
I0518,C,VÁHA,Zváženo
I0519,C,REZV,Rezervováno pro PP
I0520,C,PPVM,PPPI rezervace pro zaúčt.VM
I0521,C,PPPZ,PPPI Pořadí zkontrolováno
I0522,C,ZAVM,Zaúčt. ve výdeji materiálu
I0523,C,VYMA,Vymazáno
I0524,C,VizK,Vizuálně kontrolováno
I0525,C,PovS,Schválení: Povinnost
I0526,C,SOK,Schválení: OK
I0527,C,AOdm,Schválení: Odmítnuto
I0529,C,CMBL,CM: Objekt zablokován
I0530,C,CZAL,CM: Založeno
I0531,C,CZKD,CM: Zákl.konfigur. dovolena
I0532,C,CUZV,CM: Objekt uzavřen
I0533,C,CPRD,CM: Procesy dovoleny
I0534,C,CZFP,CM: Zákl.funkč.požadována
I0535,C,CBAS,Zákl.konfigurace (fixovaná)
I0536,C,CUPD,Uvolněno pro distribuci
I0537,C,PŘÍM,ZJ pro nákl.s přímým přiř.úč.
I0538,C,BAZH,Bez automat.zpětného hlášení
I0539,C,INIV,V inventuře
I0540,C,INVE,Inventarizováno
I0541,C,MAJI,Zúčtování na majitele
I0545,C,RLSV,Relevantnípro stanov.výsledku
I0551,C,ASIM,Simulace
I0552,C,AORD,Zakázka
I0553,C,AVER,Smlouva
I0554,C,AKUE,Výpověď
I0555,C,AZUR,K zúčtování
I0556,C,GZBE,K potvrzení
I0557,C,GZER,Požadována protikonfirmace
I0558,C,AZAE,Změněno
I0560,C,GELO,Vymazáno
I0561,C,Prop,Propadnutí
I0562,C,INIT,Iniciální
I0564,C,FIXD,Fixace provedena
I0565,C,PROL,Prolongace
I0566,C,VORZ,Předčasné vyřízení
I0567,C,ZIAN,Úprava úrokových sazeb
I0568,C,GEKU,Vypovězeno
I0569,C,AANG,Nabídka
I0571,C,KU,K uvolnění
I0573,C,FRAg,Uvolnění je zamítnuto
I0574,C,MKOS,Sběrač nákladů založen
I0587,C,SRR,Seznam relv.rizik je k dispoz.
I0611,C,TPP,Pracovní povolení vytištěno
I0612,C,ŽÁD,Oceněno
I0630,C,MOBI,Data na mobilním přístroji
I0631,C,PUSH,Push provedeno
I0632,C,PANG,Push přijato
I0633,C,PABG,Push odmítnuto
I0634,C,PZEI,Push: Maximální čas uplynul
I0635,C,PVYN,Push zrušen
I0636,C,PČOD,Push částečně odmítnut
I0639,C,PODP,Podpis připojen
I0642,C,PPVy,Pracovní povolení vydáno
I0650,C,XSpr,Řídící receptura vytvořena
I0651,C,XSez,Řídicí receptura ve zpracování
I0652,C,XSgn,XStep vygenerován
I0660,C,LFAN,Dodávky založeny
I0661,C,ZPVM,Založen pož.na výr.materiál
I0665,C,MPE,Zakázka výrobní oblasti
I0666,C,HAOP,Předáno do výroby
I0667,C,CHRS,Změny omezeny
I0700,C,ZADG,Úprava úroků provedena
I0701,C,ZAGD,Úprava úroků změněna
I0702,C,DZÚR,Úprava úroků stornována
I0703,C,AFWD,Splatnost forwardu
I0704,C,AFWL,Plnění půjčky
I0706,C,AFWI,Půjčka splněna
I0707,C,ÚprT,Úprava transakce
I0709,C,Fix.,Fixace nástroje NDF
I0751,C,WCDR,WEC: Požadována úprava dat
I0752,C,WCDC,WEC: Úprava dat kompletní
I0753,C,WCDP,WEC: Úprava dat - nevyřízeno
I0760,C,RSRV,Rezervováno
I0803,C,EXZP,Externí zpracování
I0804,C,POTV,Potvrzeno
I0806,C,ARCH,Blokováno pro archivaci
I0807,C,FLEX,Předvolby flexibilně přiřazeny
I0808,C,EXKU,Externí zpracování - zákazník
I0809,C,INAR,Úloha ve zpracování
I0818,C,PDSÚ,Předat do seznamu úloh
I0819,C,AUGE,Úloha změněna
I0820,C,JBFI,Job dokončen
I0860,C,FZ,Uspíšení splatnosti
I0861,C,Dod.,Dodávka
I0862,C,ÚprD,Úprava dividend
I0863,C,KapO,Kapitál.opatření
I1808,C,AM08,Odmítnuto
I2201,C,CREL,Uvolněn
I5619,C,GMCA,Zrušeno
IHU06,C,PJ,Přepravní jednotka
IHU07,C,EPCH,EPC pro ManJ existuje
IHU08,C,EPCS,SGTIN existuje
IHUCL,C,CLAR,K vyjasnění
IHUII,C,INV,Inventariz.
IHUIV,C,vINV,v invent.
IHUS1,C,BlZm,Změna obsahu zablokována
IHUS2,C,BlPo,Pohyby zablokovány
IHUS3,C,BlAt,Změna atributů zablokována
IHUS4,C,BlPř,Přeúčtování zablokováno
IHUS5,C,CelB,Celní blokování
IHUS7,C,bldo,Blokování dodávky
IHUUP,C,UNPA,Zcela vybaleno
IJ3G1,C,VERS,Expedice proběhla
IJ3G2,C,TVER,Expedice proběhla částečně
ILB10,C,ZUKO,Zpracování ukončeno
IMI01,C,MT01,CMTSBV - chybí šarže
IMI02,C,MT02,CMTSBV - předkalkulační chyba
IP012,C,AMEN,Opraveno
IP017,C,DRAF,Předběžně pořízeno
IP021,C,TAPP,K povolení
ISR01,C,EX,Existující
ISR02,C,OPTN,Požadována optimaliz.nakládky
ISR04,C,BU,Vykládka zahájena
ISR06,C,RP,Vykládka ukončena
ISR10,C,LO,Příjezd k bráně
ISR11,C,KoC,Příjem materiálu začal
ISR12,C,BGI,Výdej materiálu začal
ISR13,C,BLGM,Blokováno pro pohyby materiálu
ISR14,C,BNV,Blokováno pro nakl./vykládku
ISR17,C,PMZ,Příjem materiálu zaúčtován
ISR18,C,VMZ,Výdej materiálu zaúčtován
ISR19,C,PAKB,Příjezd do kontrolního bodu
ISR21,C,BPIE,Blokováno pro import / export
ISR22,C,FPOŽ,Faktura požadována
ISR30,C,ZTMS,Zpráva odeslána do TMS
ISR31,C,MARC,Označeno pro archivaci
ISR35,C,NC,Nekonzistentní
ISR36,C,BLCS,Blokov.kvůli celnímu zpracov.
ISR38,C,PTF,Plánované časy fixovány
ISR39,C,RCVC,Příjem dokončen
ISR41,C,ULUC,Vyloženo/odpojeno
IST1,C,STA1,Status jedna změněn
ISTA1,C,STA1,Status testu A/nezačal
ISTA2,C,STA2,Status testu A/ve zpracování
ISTA3,C,STA3,Status testu A/skončen
ISTB1,C,STB1,Status testu B STM/nezačal
ISTB2,C,STB2,Status testu B STM/ve zprac.
ISTB3,C,STB3,Status testu B STM/skončeno
ISTC1,C,STC1,Status testu C STM/nezačalo
ISTC2,C,STC2,Status testu C STM/ve zprac.
ISTC3,C,STC3,Status testu C STM/skončeno
ISTD-,C,STD-,Status testu D STM/neaktivní
ISTDX,C,STDX,Status testu D STM/aktivní
ISTE-,C,STE-,Status testu E STM/neaktivní
ISTEX,C,STEX,Status testu E STM/aktivní
ISTF-,C,STF-,STM Teststatus F/neaktivní
ISTFX,C,STFX,Status testu F STM/aktivní
ISTG1,C,STG1,Status testu G STM/nezačalo
ISTG2,C,STG2,Status testu G STM/ve zprac.
ISTG3,C,STG3,Status testu G STM/ukončeno
IDWV0,8,DWV0,/
IDWV1,8,DWV1,Релевантно
IDWV2,8,DWV2,/
IDWV8,8,DWV8,Завершено не повністю
IDWV9,8,DWV9,/
IDWVC,8,DWVC,Створено
ITM02,C,ARCD,Doklad archivován
ITM03,C,TBEG,Přeprava spuštěna
ITM04,C,TEND,Přeprava ukončena
ITM05,C,LBEG,Zahájení nakládky
IU152,C,SOVO,Storno odeslání výsled.odečtu
IWA01,C,TRNA,Trasa neaktivní
IWA02,C,TRAK,Trasa aktivní
IWA22,C,PZST,Pol. ZLO stornována
IWA23,C,ZPZH,ZLO pozitivně zpět. hlášena
IWA24,C,ZNZH,ZLO negativně zpět. hlášena
IWA25,C,HRVW,ZLO zkontrolována
IWA26,C,HABG,Celkem uzavř.zak.likv.odpadu
IWA27,C,HCNC,Celkem stor.zak.likv.odpadu
IWA28,C,VZAL,Pozn.k vážení ZLO založ.
IWA29,C,PVZA,Poz. vážení ZLO účtov.
I0407,C,NORV,Normalizovat
I0408,C,NORM,Normalizováno
I0413,C,ÚNOK,Kontrola úvěr.limitu-není o.k.
I0414,C,KÚOK,Kontrola úvěr.limitu úspěšná
I0415,C,PAGE,Paging se provádí
I0423,C,DNEU,Nový výpočet množství dummy
I0424,C,NMZ,normalizovatelné
I0443,C,PHU,Manip.jednotky přiřazeny
I0510,C,MPŘI,Množství na oper.přizpůsobena
I0549,C,ODZA,Oddělená zakázka
I0572,C,FRZG,Nutné uvolnění
I0580,C,EXPL,Konverze externí plán.zakázky
I0590,C,NZ,Nekritická změna
I0610,C,OCHR,Ochrana zapojení
I0668,C,OSKP,Operace přeskočena
I0708,C,OprT,Oprava transakce
I0810,C,1100,Lze archivovat
I0812,C,1102,Lze vymazat
I1140,C,NREL,Neuvolněno
IHUS6,C,SPCD,neúplná dodávka nad rámec
ISR07,C,SZ,Nakláda zahájena
ISR09,C,DE,Nakládka skončena
ISR16,C,VŠBL,Obecné blokování
ISR20,C,OZKB,Odjezd z kontrolního bodu
ISR37,C,DNTM,Odesl.definit.nakládky do TMS
ISR40,C,LDC,Naloženo / připojeno
IU200,C,POPŘ,Odečet pořízením
IU201,C,AADK,Odečet zákazníkem
I1006,C,ROZ.,Rozvrženo
I1007,C,POTV,Potvrzeno
I1008,C,UZAV,Ukončeno
I1015,C,PRUV,Ve schvalování
I1022,C,FREE,Povoleno
I1024,C,OZKV,Označeno k výmazu
I1025,C,ARCH,Archivováno
I1026,C,ZáPř,Blokování rozdělení
I1027,C,ZISK,Získáno
I1028,C,LOST,Ztraceno
I1029,C,OpPř,Opětovné předložení
I1030,C,CHZA,Chybné
I1031,C,ZASP,Oprávnění PKarty není OK
I1032,C,CANC,Zrušeno
I1033,C,TFIX,Fixní termín/množství
I1034,C,KOŠ,Předloha objednávky
I1035,C,TISK,Vytištěno
I1036,C,BLTI,Zablokováno k tisku
I1037,C,Hlv.,Hlavní konkurenční produkt
I1046,C,UVOL,Uvolnění zrušeno
I1050,C,BLCH,Blokováno (chyba)
I1051,C,BLUP,Blokováno (upozornění)
I1054,C,KDIS,K distribuci
I1055,C,NAB.,Nabídka
I1056,C,ROSE,Chybná distribuce
I1057,C,KkDi,Konfigurace k distribuci
I1058,C,PŘIŘ,Přiřazeno
I1059,C,OZNÁ,Oznámeno
I1060,C,ZAM.,Zamítnuto
I1061,C,PŘIJ,Přijato
I1062,C,ZÁK.,U zákazníka
I1066,C,COBL,Bez zakázek
I1067,C,CDBL,Bez dodávek
I1068,C,CBBL,Bez fakturace
I1069,C,FKZV,V převodu pro fakturu
I1070,C,FKVE,Převedeno na fakturu
I1071,C,CHPF,Chyba v převodu faktury
I1072,C,KFAK,K fakturaci
I1073,C,FAKT,Kompletně vyfakturováno
I1074,C,KSTO,Ke stornování
I1075,C,NFAK,Blokováno pro fakturu
I1076,C,POPT,Poptávka
I1077,C,ZMZA,Změny zakázány
I1078,C,KONX,Fixování konfigurace
I1079,C,NAPŘ,Nabídka přijata
I1082,C,DODA,V dodatečném zpracování
I1086,C,PLÁN,Plánováno
I1088,C,SPAC,Zpracovává se u partnera
I1089,C,SPRE,Odmítnuto od partnera
I1093,C,CONF,Zpětně hlášeno
I1094,C,INVR,Uvolněno k faktuře
I1095,C,STRN,Faktura stornována
I1096,C,STVT,Interně stornováno
I1097,C,DUBA,Duplicita via založení
I1098,C,DUBL,Duplicita
I1099,C,SPDP,Předáno partnerovi
I1107,C,BZVE,Dávka k rozdělení
I1111,C,IPUE,Položka v procesu přenosu
I1121,C,LCK,Blokováno
I1122,C,NZMS,Povoleno
I1123,C,EXEC,Ve zpracování
I1124,C,CNC,Odřeknuto
I1125,C,MSA,Distribuováno do Mobile Sales
I1126,C,KROK,Kontrola úvěru OK
I1127,C,KRNO,Kontrola úvěru není OK
I1128,C,KRFR,Uvolnění úvěru následuje
I1130,C,NSHP,Blokování pro dodávku
I1134,C,CSTP,Zastaveno zákazníkem
I1135,C,SSTP,Zastaveno námi
I1136,C,VERS,Přesunuto
I1137,C,DODA,Kompl.dodáno
I1141,C,KFRG,Uvolněno
I1145,C,KADZ,K autom.dodat.zpracování
I1146,C,DDZ,Dílčí doklad zpracován
I1149,C,BRIC,FAP: Interně stornováno
I1150,C,KONT,Objekt přiř.účtu přiřazen
I1151,C,IPCU,Ve zpracování u zákazníka
I1155,C,ATNO,Blokováno pro kontrolu ATP
I1156,C,ATRL,Uvolněno pro kontrolu ATP
I1157,C,FREL,K uvolnění
I1160,C,INCO,Nekompletní: Všeobecně
I1161,C,BOP,Nově rozvrženo příp.potvrzeno
I1162,C,OVDU,Položka ve zbytku
I1163,C,INC1,Nekompletní: Dodávka
I1164,C,INC2,Nekompletní: Faktura
I1165,C,INC3,Nekompletní: Stanovení ceny
I1168,C,BEBL,Blokov.rozděl.Billing Engine
I1179,C,Nesp,Nespuštěno
I1189,C,LAGO,Aktivní
I1197,C,CNCH,Konfigurace blokování změn
I1198,C,BWFA,BW Ukončeno s chybou
I1199,C,BWFI,BW Ukončeno úspěšně
I1220,C,CONT,Pokračování fakturace
I1221,C,MIDL,Akce změnov.procesu aktivní
I1224,C,NEWL,Nový dokument
I1227,C,ZŮST,Změna plánu plateb
I1234,C,LCLA,Klasifikováno
I1241,C,STBI,Zadržení faktury
I1243,C,USTB,Pokračování fakturace
I1257,C,LCOO,Změna smluv.dodavatele
I1259,C,LCOP,Změna ostatních partnerů
I1290,C,PFFG,Proces pokračuje násl.dokladem
I1295,C,ITDE,Položka se vymaže
I1300,C,C3S0,Aktivní
I1301,C,C3S1,Ve výpovědi
I1302,C,C3S2,Vypovězeno
I1303,C,C3S3,V aktivaci
I1304,C,C3S4,Chybně v externím systému
I1305,C,C3S5,Ve změně produktu
I1306,C,C3S6,Smlouva přijata
I1307,C,C3S7,Smlouva zamítnuta
I1308,C,ENTI,Fakturovaný nárok
I1309,C,C3S9,Aktivace se nezdařila
I1310,C,C310,Rozdělení XI úspěšné
I1311,C,C311,Rozdělení XI chybné
I1312,C,BOOK,Kontrola bonity OK
I1313,C,BONO,Kontrola bonity není OK
I1314,C,BOFR,Uvolněno po kontrole bonity
I1315,C,BONA,ATP blokováno kvůli bonitě
I1318,C,CIPB,Ve zpracování u majit.značky
I1320,C,SCLC,Posunutí objektu blokováno
I1321,C,CINA,Neaktivní
I1323,C,CPUB,Publikováno
I1324,C,COBS,Zastaralé
I1329,C,RENR,Uvolněno pro přihlášení
I1381,C,DLCK,Dokument zablokován
I1382,C,CACT,Do akce zákazníka
I1383,C,SOLT,Řešení poskytnuto
I1384,C,NRLV,Není relevantní
I1385,C,CAPR,Schváleno
I1386,C,CREJ,Zamítnuto
I1387,C,CAAP,Změnový požadavek ke schválení
I1388,C,PRSM,Zpracováno manažerem řešení
I1389,C,SLA,Fixní profily SLA
I1391,C,N2BE,Neprovádět
I1392,C,2BEX,Provést
I1393,C,IEXE,Provádí se
I1394,C,AEXE,Provedeno
I1400,C,ZaZP,Zahájeno z důvodu změny prod.
I1401,C,UkZP,Ukončeno z důvodu změny prod.
I1402,C,RPOK,Replikace kompletní
I1403,C,ABGV,Dosvadní dodav.odmítá
I1404,C,ZZPP,Započato kv.změně prev.prohl.
I1405,C,UZPP,Ukončeno kv.změně prev.prohl.
I1406,C,ZZOD,Započato kv.změně odběratele
I1407,C,UZOD,Ukončeno kv.změně odběratele
I1408,C,ZZSM,Započato kv.změně smlouvy
I1409,C,UZSM,Ukončeno kv.změně smlouvy
I1410,C,ZSB,Zastaralý sběrný bod
I1411,C,STPW,Změna produktu stornována
I1412,C,BPMI,Založ.přepisu obchod.partnera
I1413,C,ENRA,
I1414,C,ENRR,Změna dodavatele odmítnuta
I1415,C,ENRC,Změna dodavatele stornována
I1416,C,ENRP,Změna dodavatele odložena
I1417,C,ENR1,Změna dodavatele status 1
I1418,C,ENR2,Změna dodavatele status 2
I1419,C,ENR3,Změna dodavatele status 3
I1420,C,NOEX,Nedovolená exportní operace
I1421,C,CDLV,Částečně dodáno
I1422,C,PGI,Dílčí VM
I1423,C,CGI,Kompl.VM
I1428,C,RTCL,Vrácená dodávka uzavřena
I1429,C,RTEP,Vrácená dodávka uplynula
I1431,C,INVF,Částečně fakturováno
I1432,C,IVTB,K fakturaci (int.zúčtov.)
I1433,C,IVIB,Část.faktur.(int.zúčtov.)
I1434,C,IVCB,Kompl.faktur.(int.zúčtov.)
I1435,C,TBAI,K fakturaci (doplňková fakt.)
I1436,C,PAAI,Částeč.fakturov.(doplň.fakt.)
I1437,C,FUAI,Kompl.fakturov.(doplň.fakt.)
I1438,C,IQRR,Redukce množství zamítnuta
I1439,C,NFAT,Částečně blokováno pro fakturu
I1440,C,GCAN,Zrušeno
I1442,C,GAGR,Povolení se založilo
I1443,C,INVB,Automatické blokování faktury
I1445,C,FNCL,Závěrečné vyžádání grantu
I1446,C,WFAP,Proces posuzování
I1447,C,CLOF,Vyžádáno
I1448,C,FPAY,Závěrečná platba
I1450,C,IUAR,Archivováno v systému ISU
I1500,C,MLAG,Rámcová dohoda
I1501,C,AMND,Aktualizace rámcové smlouvy
I1502,C,ADDM,Doplnění rámcové smlouvy
I1503,C,MLRL,Uvolnění rámcové smlouvy
I1549,C,SDTR,Spuštění převzetí dat
I1550,C,FCHD,Data formuláře změněna
I1551,C,VERF,Ověřeno
I1552,C,DATR,Přenos dat formuláře
I1553,C,SSOA,Archiv.objekt soc.dávek (ERP)
I1554,C,ESTA,Kontrola nároku zahájena
I1555,C,EFIN,Kontrola nároku ukončena
I1556,C,2BAP,Ve schvalovacím procesu
I1557,C,IAPP,Ke schválení
I1558,C,APPR,Schváleno
I1559,C,REPL,Nahrazeno
I1560,C,SUPR,Zpracování nástupce
I1561,C,REJS,Neschváleno
I1562,C,ACTV,Aktivováno
I1563,C,SCNC,Stornováno
I1564,C,ELIG,Přípustné
I1565,C,NELI,Nepřípustné
I1566,C,ACCI,Akcept.(žád.o soc.dáv.)
I1567,C,REJP,Zamít.(žád.o soc.dáv.)
I1568,C,RELI,Uvolněno (SSP)
I1569,C,REJE,Zamítnuto (SSP)
IFC04,1,FC04,确定准备就绪
IFC05,1,FC05,就绪状态错误
IFC06,1,FC06,准备计算
IFC09,1,FC09,可用结果
IFC10,1,FC10,确定准备就绪
IFC11,1,FC11,就绪状态错误
IFC12,1,FC12,准备计算
IFC14,1,FC14,需要准备就绪检查
IFC15,1,FC15,需要准备就绪检查
IFO00,1,INIT,新
